Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
326,Wendell Tyler,SFO,RB,31,5,2,0,0,0,0,0,31,127,4.10,0,0,0,,0,1,,0,,,12,11.7,15.2,11.7,,113,
327,Dennis Bligen,2TM,RB,24,5,2,0,0,0,0,0,20,65,3.25,1,2,6,3.00,0,2,,1,,,11,13.1,14.1,12.1,,115,
328,Jim Jensen,MIA,WR,28,16,0,0,2,0,0,0,0,0,,0,5,50,10.00,1,0,,1,,,11,16.0,16.0,13.5,,107,
329,Gerald McNeil,CLE,WR,24,16,0,0,0,0,0,0,1,12,12.00,0,1,9,9.00,0,3,,2,,,11,12.1,13.6,11.6,,106,
330,Terry Orr,WAS,TE,25,16,1,0,0,0,0,0,0,0,,0,3,45,15.00,1,0,,1,,,11,13.5,13.5,12.0,,53,
331,Charles White,RAM,RB,28,16,0,0,0,0,0,0,22,126,5.73,0,1,7,7.00,0,2,,0,,,11,12.3,16.3,11.8,,114,
332,Bobby Hebert,NOR,QB,26,5,3,41,79,498,2,8,5,14,2.80,0,1,1,1.00,0,3,,0,,,10,11.4,23.9,18.9,,57,
333,Vince Heflin,TAM,WR,27,6,3,0,0,0,0,0,0,0,,0,3,42,14.00,0,0,,1,,,10,13.2,13.2,11.7,,108,
334,David Hughes,PIT,RB,27,5,0,0,0,0,0,0,14,32,2.29,0,10,98,9.80,0,3,,0,,,10,20.0,21.5,15.0,,116,
335,Gary Kubiak,DEN,QB,25,16,0,23,38,249,1,3,6,22,3.67,0,0,0,,0,0,,0,,,10,10.2,13.2,13.2,,58,
336,Alvin Moore,DET,RB,27,13,0,0,0,0,0,0,19,73,3.84,0,8,47,5.88,0,2,,0,,,10,18.0,19.0,14.0,,117,
337,Clarence Weathers,CLE,WR,24,16,0,0,0,0,0,0,0,0,,0,9,100,11.11,0,0,,0,,,10,19.0,22.0,14.5,,109,
338,Oliver Luck,HOU,QB,26,4,1,31,60,341,1,5,2,12,6.00,0,0,0,,0,0,,0,,,9,8.8,16.8,13.8,,59,
339,Mike Moffitt,GNB,TE,23,4,0,0,0,0,0,0,0,0,,0,4,87,21.75,0,0,,0,,,9,12.7,12.7,10.7,,55,
340,Frank Pollard,PIT,RB,29,3,3,0,0,0,0,0,24,86,3.58,0,2,15,7.50,0,1,,0,,,9,11.1,11.6,10.1,,118,
341,Tim Sherwin,IND,TE,28,7,2,0,0,0,0,0,0,0,,0,3,26,8.67,1,0,,1,,,9,11.6,11.6,10.1,,56,
342,Gary Wilkins,BUF,TE,23,16,2,0,0,0,0,0,3,18,6.00,0,8,74,9.25,0,0,,0,,,9,17.2,17.2,13.2,,54,
343,David Williams,TAM,WR,23,15,0,0,0,0,0,0,0,0,,0,6,91,15.17,0,0,,0,,,9,15.1,15.1,12.1,,110,
344,K.D. Dunn,TAM,TE,23,7,0,0,0,0,0,0,0,0,,0,3,83,27.67,0,0,,0,,,8,11.3,11.3,9.8,,57,
345,Billy Johnson,ATL,WR,34,4,0,0,0,0,0,0,6,25,4.17,0,6,57,9.50,0,0,,0,,,8,14.2,14.2,11.2,,112,
346,Steve Kreider,CIN,WR,28,10,0,0,1,0,0,1,0,0,,0,5,96,19.20,0,0,,0,,,8,12.6,13.6,11.1,,114,
347,Eric Lane,SEA,RB,27,15,0,0,0,0,0,0,6,11,1.83,0,3,6,2.00,1,0,,1,,,8,10.7,10.7,9.2,,119,
