Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
219,Brandon Jones,TEN,WR,23,10,8,0,0,0,0,0,1,1,1.00,0,47,23,299,13.00,2,0,,2,,,42,65.0,68.0,53.5,,87,
220,David Martin,GNB,TE,26,12,8,0,0,0,0,0,0,0,,0,39,27,224,8.30,3,0,,3,1,,42,69.4,72.4,55.9,,24,
221,Scottie Vines,DET,WR,26,13,11,0,0,0,0,0,1,7,7.00,0,71,40,417,10.43,0,0,,0,,,42,82.4,85.4,62.4,,86,
222,Roydell Williams,TEN,WR,24,10,2,0,0,0,0,0,0,0,,0,39,21,299,14.24,2,0,,2,,,42,62.9,65.9,52.4,,88,
223,Donald Lee,GNB,TE,25,15,5,0,0,0,0,0,0,0,,0,55,33,294,8.91,2,0,,2,,,41,74.4,77.4,57.9,,26,
224,Alvin Pearman,JAX,RB,23,16,0,0,0,0,0,0,39,149,3.82,1,36,32,240,7.50,0,4,2,1,,,41,72.9,80.9,56.9,,67,
225,Ahman Green,GNB,RB,28,5,5,0,0,0,0,0,77,255,3.31,0,27,19,147,7.74,0,1,,0,,,40,59.2,65.2,49.7,,68,
226,LaBrandon Toefield,JAX,RB,25,9,2,0,0,0,0,0,36,142,3.94,4,7,3,17,5.67,0,0,,4,,,40,42.9,45.9,41.4,,69,
227,Keary Colbert,CAR,WR,23,16,16,0,0,0,0,0,1,6,6.00,0,55,25,282,11.28,2,1,1,2,,,39,63.8,67.8,51.3,,89,
228,Vernand Morency,HOU,RB,25,12,1,0,0,0,0,0,46,184,4.00,2,15,10,87,8.70,0,1,,2,,,39,49.1,52.1,44.1,,70,
229,Bo Scaife,TEN,TE,24,16,5,0,0,0,0,0,0,0,,0,56,37,273,7.38,2,0,,2,,,39,76.3,79.3,57.8,,27,
230,Nate Burleson,MIN,WR,24,12,9,0,0,0,0,0,2,-6,-3.00,0,52,30,328,10.93,1,0,,1,,,38,68.2,71.2,53.2,,90,
231,Reche Caldwell,SDG,WR,26,16,2,0,0,0,0,0,2,10,5.00,0,43,28,352,12.57,1,2,2,1,,,38,66.2,71.2,52.2,,91,
232,Zack Crockett,OAK,FB,33,16,10,0,0,0,0,0,60,208,3.47,1,18,13,111,8.54,0,1,,1,,,38,50.9,56.9,44.4,,71,
233,Bryan Fletcher,IND,TE,26,16,12,0,0,0,0,0,0,0,,0,27,18,202,11.22,3,0,,3,,,38,56.2,59.2,47.2,,28,
234,Maurice Morris,SEA,RB,26,16,2,0,0,0,0,0,71,288,4.06,1,6,5,48,9.60,0,0,1,1,,,38,42.6,46.6,40.1,,72,
235,Michael Clayton,TAM,WR,23,14,10,0,0,0,0,0,1,2,2.00,0,55,32,372,11.63,0,1,,0,,,37,69.4,72.4,53.4,,92,
236,Kevin Faulk,NWE,RB,29,8,2,0,0,0,0,0,51,145,2.84,0,37,29,260,8.97,0,3,2,0,,,37,65.5,73.5,51.0,,73,
237,Courtney Roby,TEN,WR,22,13,6,0,0,0,0,0,2,16,8.00,0,43,21,289,13.76,1,1,,1,,,37,57.5,60.5,47.0,,94,
238,Mike Williams,DET,WR,21,14,4,0,0,0,0,0,0,0,,0,57,29,350,12.07,1,2,2,1,,,37,66.0,71.0,51.5,,93,
239,Doug Jolley,NYJ,TE,26,16,7,0,0,0,0,0,0,0,,0,50,29,324,11.17,1,1,1,1,,,36,65.4,69.4,50.9,,29,
